17;5663;4
25;1542;21
35;472;17
36;5194;21
37;8483;21
38;33310;4
39;9892;7
40;10141;8
41;4553;6
42;4562;6
43;9938;8
44;9937;7
45;3265;4
46;4528;6
47;9915;8
48;9913;7
49;9906;4
50;4535;6
51;9946;8
52;9945;7
53;9944;4
54;4541;6
55;9929;8
56;12647;20
57;12645;20
58;4499;6
59;3261;8
60;16891;5
61;73729;7
77;2645;5
79;73553;7
80;16854;8
85;16883;5
86;4520;6
87;261;8
88;374;7
89;7848;4
90;4519;6
91;368;7
92;249;8
93;369;4
94;4522;6
95;242;8
97;12662;20
98;4524;6
99;257;8
100;372;7
101;373;4
102;4523;6
103;253;8
104;370;7
105;371;4
113;365;7
114;245;8
115;4517;6
117;1116;0
118;15710;0
119;5702;4
120;10006;7
121;10008;8
122;4538;6
123;383;4
124;3268;7
125;3269;8
126;4543;6
127;9996;4
128;396;7
129;9977;8
130;4572;6
131;4542;6
132;295;8
133;7912;4
134;387;4
135;386;7
136;311;8
137;4540;6
138;9036;4
139;9988;7
140;65781;8
141;4507;6
143;2080;14
146;4544;6
147;9975;7
148;9976;4
149;4569;6
150;392;7
151;393;4
152;4570;6
153;10050;7
154;10058;4
155;4571;6
156;394;7
157;395;4
159;18084;0
182;3918;0
184;362;18
192;5279;21
193;16579;5
194;16580;7
195;16582;8
200;16777;5
201;16778;7
202;16780;8
203;16779;10
209;17140;7
210;14444;8
236;11580;5
237;14476;7
238;14474;8
239;14475;10
285;16101;5
286;3409;7
287;7002;8
414;21904;0
422;6352;0
527;7090;0
537;2874;0
555;11205;0
556;6625;0
647;20190;17
710;16936;9
711;16581;10
714;14445;10
718;6986;10
719;73547;10
720;2368;10
723;5287;0
724;6342;0
725;1769;0
727;26577;13
728;811;0
729;1116;0
730;1504;0
731;8802;0
732;18087;0
733;6347;0
734;4841;0
735;4841;0
737;926;0
738;1297;0
739;1443;0
740;1443;0
741;7391;0
742;928;0
743;929;0
744;18059;12
745;811;0
746;3865;5
748;811;0
750;1116;0
751;1515;21
752;1272;0
753;20094;13
754;20218;13
755;6498;0
756;1379;17
761;1208;0
763;17007;9
765;18088;0
766;19621;21
767;20443;17
768;1383;21
769;2599;0
770;6002;0
771;1225;0
772;6498;0
773;7127;0
774;6663;0
776;2743;13
777;959;0
778;2684;21
779;7177;0
780;2874;0
781;19644;21
782;1329;0
783;6687;0
784;1438;0
785;6507;0
786;7391;0
787;24697;0
788;4801;21
789;19699;13
790;19401;13
791;20334;17
792;16855;8
793;14449;10
794;14450;7
795;14154;5
796;22973;8
797;17068;10
798;22972;7
799;2106;5
804;1625;18
805;2586;18
806;2585;18
807;7356;0
808;6663;0
809;20033;13
810;19726;13
811;19137;13
812;20257;17
813;6618;0
814;18084;0
816;2710;13
818;6613;0
820;6470;13
821;17102;5
823;2616;0
826;19271;13
827;2038;13
828;2584;18
829;1272;0
832;6847;6
833;22978;12
835;1007;0
836;1007;0
837;9934;5
838;14468;7
839;14467;10
840;16821;8
841;1270;0
842;3331;0
843;14470;8
844;2101;10
845;9500;7
846;14472;5
847;1019;5
848;697;7
849;6869;8
850;6871;10
851;22077;13
852;8287;13
853;22102;13
854;22147;17
855;1281;18
856;1025;18
857;4056;18
858;15711;0
859;9880;4
860;3443;8
862;18397;11
863;19213;13
864;26579;13
865;5212;13
866;20357;17
867;17180;10
868;19713;13
869;5163;13
870;33458;17
871;19235;13
872;19242;17
873;20298;17
875;4110;0
876;1680;14
877;7099;0
878;7345;0
880;20382;17
883;7088;0
884;6368;0
885;8494;13
886;20093;13
887;2599;0
888;17182;10
889;3020;0
890;20386;17
